Title,Post id,User ID,User name,User reputation,Time posted,Votes,Answers,Views,Tag,Is closed?
What will be the name of the Minecraft 1.20 update? [closed],401602,299971,paolo,1,5 hours ago,-4,0,22,['minecraft-java-edition'],True
How do I make it so that a command only runs when I'm at a certain position,401601,298211,veryhotclara,25,9 hours ago,0,0,17,"['minecraft-java-edition', 'minecraft-commands']",False
Missing an ingredient for Enhanced Hybrid Oil,401596,299986,alice-winter,1,19 hours ago,0,0,26,['the-witcher-3'],False
How do I get the space shuttle launch in Game Boy Tetris?,401595,1095,paul-d-waite,952,19 hours ago,14,1,2k,"['game-boy', 'tetris']",False
Error with Unreal Engine 5.1 [closed],401593,299978,meh,1,23 hours ago,0,0,16,['technical-issues'],True
What happened to Elizabeth Peralez' last messages?,401591,23188,izzy,"1,472",yesterday,2,1,137,['cyberpunk-2077'],False
Where can I find a Ralts in Pokemon X?,401587,299966,nicholas-bishop-kinlyside,1,yesterday,0,1,23,['pokemon-x-y'],False
Cloud saves ate my local saves [Mass Effect Legendary Edition PC],401586,299962,northernartemis,1,yesterday,0,0,23,"['technical-issues', 'origin', 'mass-effect-legendary-edition']",False
Creating custom textured armour sets,401585,299957,bitcash-complex,21,yesterday,2,0,13,"['minecraft-java-edition', 'minecraft-resource-packs', 'minecraft-optifine']",False
"How do I skip the night if villager named ""Josh"" is asleep?",401582,299952,robert,21,yesterday,1,1,42,"['minecraft-java-edition', 'minecraft-commands']",False
How do you get access to the right island in the lego jurassic world game?,401580,299949,kristen-weeks,1,yesterday,0,0,10,['lego-jurassic-world'],False
How to install only Xbox Game Pass games to an external drive on PC?,401579,49352,user67275,241,yesterday,1,1,24,"['windows', 'xbox-game-pass', 'xbox-game-pass-for-pc']",False
Command blocks not equally affecting all players,401578,299946,cas,21,yesterday,2,1,20,"['minecraft-java-edition', 'minecraft-commands', 'minecraft-java-edition-server']",False
Which mobile racing game featuring a red-roof car is this?,401576,213338,daf,553,yesterday,4,1,227,['game-identification'],False
Is it possible to scrape League of Legends' files for data on specific champions? [closed],401575,299944,thexlonewolf,1,yesterday,0,0,21,['league-of-legends'],True
Fallout 4 Altering Buy/Sell Ratio Cap & Mechanics [closed],401574,299940,kelly-mattis,1,yesterday,0,0,14,['fallout-4'],True
How do I get to this chest behind the revolving statues?,401573,8995,jeff-mercado,20.6k,2 days ago,2,1,87,['hogwarts-legacy'],False
How to get a player head using selector? (Java 1.19) [duplicate],401572,299700,dudunkin,1,2 days ago,0,0,17,"['minecraft-java-edition', 'minecraft-commands']",False
"How to get Strafers on Navox: Ormos, in Story Sector 2?",401569,108916,malady,"4,283",2 days ago,0,1,14,['creeper-world-3-arc-eternal'],False
How to recover my old Minecraft account? [duplicate],401568,299923,r41nco,11,2 days ago,1,1,43,['minecraft-java-edition'],False
Minecraft Skyblock map [closed],401563,299906,timothy-smith,1,Feb 10 at 1:13,-3,0,30,['minecraft-java-edition'],True
Are authentic arcade games better than emulated? [closed],401562,231506,argo,107,Feb 9 at 23:32,-1,0,45,"['emulation', 'arcade']",True
Is it possible to play Kirby: Nightmare in Dreamland (Gba remake) multiplayer with a Nintendo DS? [duplicate],401561,299904,shadow-master469,11,Feb 9 at 23:31,1,0,26,"['nintendo-ds', 'kirby-nightmare-in-dreamland']",False
How do I kill specific items with colored names?,401559,299890,mcnoob,1,Feb 9 at 13:58,0,0,34,"['minecraft-commands', 'minecraft-bedrock-edition']",False
How do I send players between servers in Minecraft java?,401550,290047,tapey,1,Feb 9 at 1:12,0,2,36,"['minecraft-java-edition', 'minecraft-commands', 'minecraft-java-edition-server']",False
How to solve the pile riddle in Ace Ventura Game?,401541,88683,adam,151,Feb 8 at 11:31,4,0,66,['ace-ventura'],False
Is it possible to change audio language?,401540,282193,skye-at,"2,802",Feb 8 at 11:30,2,1,253,['hogwarts-legacy'],False
Friends can't connect to my server with external IP,401538,299854,john,13,Feb 8 at 10:16,0,1,44,"['minecraft-java-edition-server', 'hosting']",False
How do I get the floating spirit gems in Chapter 5?,401537,181240,stevoisiak,29.8k,Feb 8 at 6:24,0,0,16,['the-legend-of-korra'],False
How do I open the gate in Fungi Forest near warp point 5?,401536,181240,stevoisiak,29.8k,Feb 8 at 4:30,0,0,23,['donkey-kong-64'],False
"Mouse doesn't update, nor does screen, in Parsec",401534,299833,bliss-rae,1,Feb 7 at 19:20,-1,0,28,"['technical-issues', 'macos', 'windows', 'parsec']",False
How can I build a macro that functions as both spells on one of my talent tree's choice nodes?,401531,242480,spevacus,"2,147",Feb 7 at 16:50,0,1,50,['world-of-warcraft'],False
Does the half price star effect get used up if you refuse a star?,401530,181240,stevoisiak,29.8k,Feb 7 at 15:58,1,0,20,['mario-party-superstars'],False
